"Статус выполнения",Дата,Задача
,,
,,
TRUE,07.09,"Чтобы вычеркнуть пункт, введите любое значение в столбце A."
FALSE,08.09,"Изменить форматирование выполненных задач можно в веб-версии Таблиц, нажав ""Формат > Условное форматирование""."
FALSE,09.09,"Чтобы отсортировать задачи в веб-версии Таблиц, нажмите на значок фильтра рядом 
с заголовком."
FALSE,,
FALSE,,
FALSE,,
FALSE,,
FALSE,,
FALSE,,
FALSE,,
FALSE,,
FALSE,,
FALSE,,
FALSE,,
FALSE,,
FALSE,,
FALSE,,
FALSE,,
FALSE,,
FALSE,,
FALSE,,
FALSE,,
FALSE,,
FALSE,,
FALSE,,
FALSE,,
FALSE,,
FALSE,,
FALSE,,
FALSE,,
FALSE,,
FALSE,,
FALSE,,
FALSE,,
FALSE,,
FALSE,,
FALSE,,
FALSE,,
FALSE,,
FALSE,,
FALSE,,
FALSE,,
FALSE,,
FALSE,,
FALSE,,
FALSE,,
FALSE,,
